,from,job_id,job_title,job_company,job_location,job_link
53,Indeed,d9265a21ab1dcd7b,Senior Data Analyst,Helix,"New York, NY",http://www.indeed.com/rc/clk?jk=d9265a21ab1dcd7b
54,Indeed,aa873f9e299f3971,Machine Learning Engineer,FactSet,"New York, NY 10016 (Gramercy area)",http://www.indeed.com/rc/clk?jk=aa873f9e299f3971
55,Indeed,2e42241f43a44e78,Freelance/Remote Data Scientist,SFL Scientific,"New York, NY",http://www.indeed.com/rc/clk?jk=2e42241f43a44e78
56,Indeed,2307f9cbc4c7329a,"MANAGER, ANALYTICS & INSIGHTS",Viacom,"New York, NY",http://www.indeed.com/rc/clk?jk=2307f9cbc4c7329a
57,Indeed,9ca39424b7b63078,Data Scientist - Machine Learning Engineer,Quartet,"New York, NY 10018 (Clinton area)",http://www.indeed.com/rc/clk?jk=9ca39424b7b63078
63,Indeed,3a303e398a688208,Data Scientist,Foot Locker,"New York, NY",http://www.indeed.com/rc/clk?jk=3a303e398a688208
64,Indeed,9870c2266ee64d38,Data Scientist,NBCUniversal,"New York, NY",http://www.indeed.com/rc/clk?jk=9870c2266ee64d38
65,Indeed,52a3e4885c49b86b,Customer Data Insight Analyst,Scholastic,"New York, NY",http://www.indeed.com/rc/clk?jk=52a3e4885c49b86b
66,Indeed,7e3f3673430b74d7,Data Scientist,Verizon,"New York, NY 10007 (Financial District area)",http://www.indeed.com/rc/clk?jk=7e3f3673430b74d7
67,Indeed,31add162dd9aec6c,"Software Engineer, Machine Learning",Google,"New York, NY 10011 (Chelsea area)",http://www.indeed.com/rc/clk?jk=31add162dd9aec6c
68,Indeed,bb9bc1982d145a76,Data Analyst,DEPARTMENT OF FINANCE,"Brooklyn, NY",http://www.indeed.com/rc/clk?jk=bb9bc1982d145a76
69,Indeed,72cc16795ed02f01,Data Scientist,WorldCover,"New York, NY",http://www.indeed.com/rc/clk?jk=72cc16795ed02f01
70,Indeed,20e84a037577e6c2,Data Scientist- Digital,Capital One,"New York, NY",http://www.indeed.com/rc/clk?jk=20e84a037577e6c2
72,Indeed,1beec6d8020ff527,Data Scientist,"Two Sigma Investments, LLC.","New York, NY",http://www.indeed.com/rc/clk?jk=1beec6d8020ff527
78,Indeed,837579d9adecb90b,Data Scientist - Health Data Science,Quartet,"New York, NY 10018 (Clinton area)",http://www.indeed.com/rc/clk?jk=837579d9adecb90b
79,Indeed,2f2dd461290856ea,Data Scientist,NBA,"New York, NY",http://www.indeed.com/rc/clk?jk=2f2dd461290856ea
80,Indeed,1649d97790e66727,Quantitative Finance Analyst,Bank of America,"New York, NY 10036",http://www.indeed.com/rc/clk?jk=1649d97790e66727
81,Indeed,fb9b07c9004e2281,Quantitative Researcher (Machine Learning),"WorldQuant, LLC.","New York, NY",http://www.indeed.com/rc/clk?jk=fb9b07c9004e2281
82,Indeed,6782f35622d0331d,Data Scientist,Xaxis,"New York, NY",http://www.indeed.com/rc/clk?jk=6782f35622d0331d
85,Indeed,311e035e11f81a29,Quantitative Analyst ? FX Algorithmic Execution,Enterprise Select,"New York, NY",http://www.indeed.com/rc/clk?jk=311e035e11f81a29
86,Indeed,6dbdf3f577e36e92,"Software Engineer, PhD Intern/Co-op (Machine Learning)",Facebook,"New York, NY",http://www.indeed.com/rc/clk?jk=6dbdf3f577e36e92
87,Indeed,663d6d7614b473c0,Data Analyst,Ambulatory/Outpatient NYU School of Medicine,"New York, NY",http://www.indeed.com/rc/clk?jk=663d6d7614b473c0
92,Indeed,76e0e68b831181f7,Data Scientist,Movable Ink,"New York, NY",http://www.indeed.com/rc/clk?jk=76e0e68b831181f7
93,Indeed,a0050269de0c341b,Technology - GSAM Tech - Data Science and Machine Learning Engineer,Goldman Sachs,"New York, NY 10282 (Tribeca area)",http://www.indeed.com/rc/clk?jk=a0050269de0c341b
95,Indeed,df98958002b9ff07,Data Scientist - OPTO,Tapad,"New York, NY",http://www.indeed.com/rc/clk?jk=df98958002b9ff07
98,Indeed,a7da0c00f486d8a0,Data & Applied Scientist,Microsoft,"New York, NY",http://www.indeed.com/rc/clk?jk=a7da0c00f486d8a0
99,Indeed,86c5b4dad7ff1422,Data Analyst - Cardiology,Columbia University,"New York, NY",http://www.indeed.com/rc/clk?jk=86c5b4dad7ff1422
100,Indeed,0135939cc71d11a2,Quantitative Research Strats Analyst,Goldman Sachs,"New York, NY 10282 (Tribeca area)",http://www.indeed.com/rc/clk?jk=0135939cc71d11a2
101,Indeed,aa3a4513601fd3ca,Data Scientist,Fractal Analytics,"Jersey City, NJ 07311 (Downtown area)",http://www.indeed.com/rc/clk?jk=aa3a4513601fd3ca
108,Indeed,abb6e2be71af31bf,"Global Investment Research, Tactical Research, Data Scientist - NY",Goldman Sachs,"New York, NY 10282 (Tribeca area)",http://www.indeed.com/rc/clk?jk=abb6e2be71af31bf
110,Indeed,4e8cc834dc42d068,"Data Scientist, Ad-Tech",Dailymotion,"New York, NY",http://www.indeed.com/rc/clk?jk=4e8cc834dc42d068
111,Indeed,519709123147f7a8,VP of Operations for AI Healthcare Company,AiCure,"New York, NY",http://www.indeed.com/rc/clk?jk=519709123147f7a8
112,Indeed,d35de96b61f90bbd,Data Scientist,Analytic Partners,"New York, NY 10017 (Midtown area)",http://www.indeed.com/rc/clk?jk=d35de96b61f90bbd
113,Indeed,28b16b20527aaab5,Data Scientist,MassMutual Financial Group,"New York, NY 10261 (Murray Hill area)",http://www.indeed.com/rc/clk?jk=28b16b20527aaab5
114,Indeed,608cb453d67f214f,Data Scientist,PulsePoint,"New York, NY",http://www.indeed.com/rc/clk?jk=608cb453d67f214f
116,Indeed,3a54d3422681210e,"Research Analyst, Content Insights",Spotify,"New York, NY 10011 (Chelsea area)",http://www.indeed.com/rc/clk?jk=3a54d3422681210e
123,Indeed,755aa55490b35ad7,Machine Learning/Deep Learning Engineer,SKIP,"New York, NY",http://www.indeed.com/rc/clk?jk=755aa55490b35ad7
124,Indeed,2d66ab5f606849b2,Machine Learning Expert,JP Morgan Chase,"Jersey City, NJ 07310 (Downtown area)",http://www.indeed.com/rc/clk?jk=2d66ab5f606849b2
126,Indeed,b72028ed7de71261,Data Science Analyst,AIG,"New York, NY",http://www.indeed.com/rc/clk?jk=b72028ed7de71261
127,Indeed,4935e03e4d18377f,DATA ANALYST,HRA/DEPT OF SOCIAL SERVICES,"Manhattan, NY",http://www.indeed.com/rc/clk?jk=4935e03e4d18377f
129,Indeed,b1e18ba7ca04274f,Data Scientist,TeachersPayTeachers,"New York, NY",http://www.indeed.com/rc/clk?jk=b1e18ba7ca04274f
130,Indeed,b6c546f5112ff1e6,Summer Research Analyst Internship,Guidepoint Global,"New York, NY 10017 (Midtown area)",http://www.indeed.com/rc/clk?jk=b6c546f5112ff1e6
138,Indeed,e0b494a0d88713ac,Business/Statistical Analyst,AIG,"New York, NY",http://www.indeed.com/rc/clk?jk=e0b494a0d88713ac
139,Indeed,01fae94830a32c1a,Equity Core Strat Team Strategist/Quantitative Analyst,Morgan Stanley,"New York, NY 10032 (Washington Heights area)",http://www.indeed.com/rc/clk?jk=01fae94830a32c1a
143,Indeed,6a0d937f2625e5ab,Research Scientist,Yahoo! Inc.,"New York, NY",http://www.indeed.com/rc/clk?jk=6a0d937f2625e5ab
144,Indeed,0179f0bf0a84e1e7,Business Research Analyst - Legal Conferences,American Conference Institute,"New York, NY 10010 (Gramercy area)",http://www.indeed.com/rc/clk?jk=0179f0bf0a84e1e7
146,Indeed,0e08a7f906ad38d3,Data Scientist,Dailymotion,"New York, NY",http://www.indeed.com/rc/clk?jk=0e08a7f906ad38d3
152,Indeed,5727797edd46549e,Data Scientist,Huxley Associates,"New York, NY 10020 (Midtown area)",http://www.indeed.com/rc/clk?jk=5727797edd46549e
153,Indeed,9eb0d600620f9777,Machine Learning Engineer,Capital One,"New York, NY",http://www.indeed.com/rc/clk?jk=9eb0d600620f9777
154,Indeed,6144a1ed913a082d,Data Scientist - Worldwide Advanced Analytics Team,IBM,"New York, NY",http://www.indeed.com/rc/clk?jk=6144a1ed913a082d
155,Indeed,7fc8085b2690df8e,Developer / Data Engineer,Penguin Random House,"New York, NY 10019 (Midtown area)",http://www.indeed.com/rc/clk?jk=7fc8085b2690df8e
156,Indeed,80d050044140ae95,Data Scientist,United Technologies Corp. Headquarters,"Brooklyn, NY",http://www.indeed.com/rc/clk?jk=80d050044140ae95
158,Indeed,a4829cdb4e1bc112,"Data Scientist, Decision Analytics",EXL,"Jersey City, NJ",http://www.indeed.com/rc/clk?jk=a4829cdb4e1bc112
160,Indeed,22527c23a83f4470,"Software Engineer, Machine Learning",Dataminr,"New York, NY",http://www.indeed.com/rc/clk?jk=22527c23a83f4470
161,Indeed,243423ddba7cbc6b,Senior Associate - Cognitive Data Scientist Natural Language Processing,KPMG,"New York, NY 10154 (Midtown area)",http://www.indeed.com/rc/clk?jk=243423ddba7cbc6b
168,Indeed,b7b5515c82178d0c,"VIE Credit Portfolio - Quantitative Analyst New York, H/F",BNP Paribas Corporate & Institutional Banking,"New York, NY",http://www.indeed.com/rc/clk?jk=b7b5515c82178d0c
169,Indeed,c19a4e561668f483,Machine Learning Engineer,Freestar,"New York, NY",http://www.indeed.com/rc/clk?jk=c19a4e561668f483
170,Indeed,950e42c336c02e00,Data Scientist,Workbridge Associates,"New York, NY",http://www.indeed.com/rc/clk?jk=950e42c336c02e00
171,Indeed,bdd206d23d58c9bd,Senior Data Scientist,HarperCollins Publishers Inc.,"New York, NY",http://www.indeed.com/rc/clk?jk=bdd206d23d58c9bd
173,Indeed,57f9d0b9c0c614af,"Specialist, Data Science",Prudential,"Newark, NJ",http://www.indeed.com/rc/clk?jk=57f9d0b9c0c614af
174,Indeed,9e8b529014a4f79a,MQA ? Hybrid Quantitative Analyst - Associate,Citi,"New York, NY",http://www.indeed.com/rc/clk?jk=9e8b529014a4f79a
175,Indeed,2c9a98d84b3f98b2,Responsible Investing Analyst (Stewardship and Research),Ameriprise Financial,"New York, NY",http://www.indeed.com/rc/clk?jk=2c9a98d84b3f98b2
182,Indeed,a72d4ed74346724a,Data Analyst/Scientist,Veterans Sourcing Group,"Weehawken, NJ 07086",http://www.indeed.com/rc/clk?jk=a72d4ed74346724a
183,Indeed,2b34af7f0727782d,Sr. SAS Programmer / Statistical Data Modeler,TechLink Systems Inc.,"New York, NY 10020 (Midtown area)",http://www.indeed.com/rc/clk?jk=2b34af7f0727782d
186,Indeed,1b5eeead0d18eafa,"Data Scientist, CRM and Marketing","Brooks Brothers Group, Inc","New York, NY 10017 (Midtown area)",http://www.indeed.com/rc/clk?jk=1b5eeead0d18eafa
187,Indeed,db3f1c5e2026773c,Data Engineer,L2,"New York, NY 10012 (Little Italy area)",http://www.indeed.com/rc/clk?jk=db3f1c5e2026773c
188,Indeed,49762b1c4edc8cb2,Advanced Imaging Data Analyst,Weill Cornell Medicine,"New York, NY",http://www.indeed.com/rc/clk?jk=49762b1c4edc8cb2
189,Indeed,bfc659f225e656e0,Data Scientist II,Comcast,"New York, NY 10112 (Midtown area)",http://www.indeed.com/rc/clk?jk=bfc659f225e656e0
190,Indeed,39821c563201dbdc,Data Scientist,AdTheorent,"New York, NY",http://www.indeed.com/rc/clk?jk=39821c563201dbdc
191,Indeed,6a9134e045fd2c63,"Contract Technical Writer, Sports Data",MLB Advanced Media,"New York, NY 10011 (Chelsea area)",http://www.indeed.com/rc/clk?jk=6a9134e045fd2c63
198,Indeed,5be3a4fb8d45cdff,Data Scientist,Scienaptic Systems Inc,"New York, NY",http://www.indeed.com/rc/clk?jk=5be3a4fb8d45cdff
199,Indeed,d4deb135be15ac98,Principal Data Scientist,CBS Corporate,"New York, NY 10176 (Murray Hill area)",http://www.indeed.com/rc/clk?jk=d4deb135be15ac98
201,Indeed,d7c3a544fa695d1f,Principal Data Scientist - NY or Redmond,Microsoft,"New York, NY",http://www.indeed.com/rc/clk?jk=d7c3a544fa695d1f
202,Indeed,f1b348f8022a0721,Senior Data Scientist,Verizon,"New York, NY 10003 (Greenwich Village area)",http://www.indeed.com/rc/clk?jk=f1b348f8022a0721
203,Indeed,9b98c0a65caabd33,Data Scientist,nuvento,"New York, NY",http://www.indeed.com/rc/clk?jk=9b98c0a65caabd33
204,Indeed,155a1a781e8f22c6,Financial Quantitative Analyst,FiNCAD,"New York, NY",http://www.indeed.com/rc/clk?jk=155a1a781e8f22c6
205,Indeed,2e3c0c493437d6f0,Manager-Data Science,AIG,"New York, NY",http://www.indeed.com/rc/clk?jk=2e3c0c493437d6f0
206,Indeed,628cf0c68cfbbe71,Developer - Banking Analytics - Machine Learning,McKinsey & Company,"Summit, NJ 07901",http://www.indeed.com/rc/clk?jk=628cf0c68cfbbe71
212,Indeed,332459007593d4be,Health Scientist,Centers for Disease Control and Prevention,"New York, NY",http://www.indeed.com/rc/clk?jk=332459007593d4be
213,Indeed,8ed4022c0d190188,Data Research and Acceleration Analyst - Part-time Internship (Fall 2017),"Two Sigma Investments, LLC.","New York, NY",http://www.indeed.com/rc/clk?jk=8ed4022c0d190188
214,Indeed,e009f13a245669aa,"Global Investment Research, Research Curator, Business Analyst",Goldman Sachs,"New York, NY 10282 (Tribeca area)",http://www.indeed.com/rc/clk?jk=e009f13a245669aa
216,Indeed,726351e628d742d8,"Data Scientist, Analytics",Global Strategy Group,"New York, NY 10003 (Greenwich Village area)",http://www.indeed.com/rc/clk?jk=726351e628d742d8
217,Indeed,e9f742e3ffd56b0e,Data Scientist,2U,"New York, NY",http://www.indeed.com/rc/clk?jk=e9f742e3ffd56b0e
219,Indeed,baf71369e510c9f4,Economist/Data Scientist/Credit Risk Specialist,"REIS, INC","New York, NY",http://www.indeed.com/rc/clk?jk=baf71369e510c9f4
220,Indeed,1825ab7ebc739cc5,Research Analyst,Navigant,"New York, NY",http://www.indeed.com/rc/clk?jk=1825ab7ebc739cc5
221,Indeed,1d955e8a1cd67edc,Data Scientist,Soci?t? G?n?rale,"New York, NY",http://www.indeed.com/rc/clk?jk=1d955e8a1cd67edc
227,Indeed,d145b239faea8c6d,Data Scientist,RangTech,"Jersey City, NJ",http://www.indeed.com/rc/clk?jk=d145b239faea8c6d
228,Indeed,1beee420572eabdc,"Statistician, Level I",POLICE DEPARTMENT,"New York, NY",http://www.indeed.com/rc/clk?jk=1beee420572eabdc
229,Indeed,4fe234ab7848f97b,Data Ops Engineer,Blue Apron,"New York, NY 10013 (Tribeca area)",http://www.indeed.com/rc/clk?jk=4fe234ab7848f97b
231,Indeed,031ebf10fb12f5b3,Research Analyst,Nielsen,"New York, NY 10003 (Greenwich Village area)",http://www.indeed.com/rc/clk?jk=031ebf10fb12f5b3
232,Indeed,9bfe99f7479b631b,Data Scientist,Goldman Sachs,"New York, NY 10282 (Tribeca area)",http://www.indeed.com/rc/clk?jk=9bfe99f7479b631b
234,Indeed,09d5e48bf1b64856,Statistical Data Analyst,NewYork-Presbyterian/Midtown Offices,"New York, NY",http://www.indeed.com/rc/clk?jk=09d5e48bf1b64856
235,Indeed,a3b569c0e8d2b84c,Assistant Vice President - Data Scientist,BNP Paribas,"New York, NY",http://www.indeed.com/rc/clk?jk=a3b569c0e8d2b84c
236,Indeed,cec0ede92877ba7c,"Sustainable Investing (SI) Research Analyst, Sustainable and Impact I",UBS,"New York, NY",http://www.indeed.com/rc/clk?jk=cec0ede92877ba7c
243,Indeed,48d62717112f94b0,Machine Learning Engineer,JW Player,"New York, NY 10018 (Clinton area)",http://www.indeed.com/rc/clk?jk=48d62717112f94b0
244,Indeed,f59b7d4284242761,Senior Associate - Data Analysis,New York Life Insurance Co,"New York, NY",http://www.indeed.com/rc/clk?jk=f59b7d4284242761
246,Indeed,823708535670ff7d,Senior Data Scientist,Enigma,"New York, NY",http://www.indeed.com/rc/clk?jk=823708535670ff7d
247,Indeed,7881dc493c5ca891,Small & Mid Cap Quantitative Analyst,OppenheimerFunds,"New York, NY",http://www.indeed.com/rc/clk?jk=7881dc493c5ca891
248,Indeed,fd984b239dd17a83,Research Scientist,Yahoo! Inc.,"New York, NY",http://www.indeed.com/rc/clk?jk=fd984b239dd17a83
249,Indeed,8520eb17d2c95a3f,Data Scientist,Squarespace,"New York, NY 10014 (West Village area)",http://www.indeed.com/rc/clk?jk=8520eb17d2c95a3f
251,Indeed,1fb18b6d76c9db25,Senior Data Scientist,Pronoun,"New York, NY",http://www.indeed.com/rc/clk?jk=1fb18b6d76c9db25
